PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PL/M
Aaron Gordon,DEN,26,32,20,12,4,1.4,0.4,0.8,56,0.1,0.3,44.4,0.4,0.5,80,0.3,0.5,0.8,0.2,0.1,0,0,0.4,2.7,3,0,0.9
Aaron Holiday,PHX,25,8,5,3,1,0.4,0.1,0.3,50,0.1,0.3,50,0,0,0,0,0.3,0.3,0.3,0.1,0,0,0.5,0.9,0,0,0.8
Aaron Nesmith,BOS,22,3,1,2,3.1,1,0.3,0.3,100,0.3,0.3,100,0,0,0,0,0,0,0,0,0.3,0,1,2,0,0,-1.7
Aaron Wiggins,OKC,23,20,7,13,2,0.8,0.3,0.5,55.6,0.1,0.2,33.3,0.2,0.4,57.1,0.2,0.3,0.5,0.1,0,0,0,0.3,1.4,0,0,-0.7
Abdel Nader,PHX,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Admiral Schofield,ORL,25,2,1,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-7.5
Al Horford,BOS,36,22,8,14,3.1,0.7,0.3,0.7,37.5,0.1,0.3,42.9,0,0,0,0,0.5,0.6,0.2,0,0,0.1,0.5,2.1,4,0,-1.6
Alec Burks,NYK,30,41,15,26,2.8,1,0.3,1,30.2,0.2,0.5,35,0.2,0.2,80,0,0.3,0.3,0.4,0.1,0,0,0.4,2.2,1,0,-2.7
Aleksej Pokusevski,OKC,20,7,1,6,3,1,0.3,0.9,33.3,0,0.6,0,0.4,0.4,100,0,0.3,0.3,0.7,0.3,0,0,0,2.1,2,0,-1.1
Alex Caruso,CHI,28,19,10,9,3.1,0.2,0,0.3,0,0,0.2,0,0.2,0.2,75,0.2,0.4,0.6,0.4,0.1,0.2,0,0.5,1.8,1,0,0.7
Alex Len,SAC,29,6,3,3,2.8,0.8,0.3,0.3,100,0.2,0.2,100,0,0,0,0.5,0,0.5,0,0,0,0.2,0.7,1.9,0,0,-0.7
Alfonzo McKinnie,CHI,29,3,1,2,0.7,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Alperen Sengun,HOU,19,8,4,4,2.8,0.3,0.1,0.8,16.7,0,0.1,0,0,0,0,0.3,0.4,0.6,0.3,0.1,0.1,0,0.4,1.6,2,0,1.3
Amir Coffey,LAC,25,23,13,10,2.7,0.9,0.2,0.7,33.3,0.1,0.3,28.6,0.3,0.4,80,0,0.4,0.4,0,0,0,0,0.2,1.6,0,0,0.6
Andre Drummond,BKN,28,15,6,9,2.8,1.3,0.5,0.7,63.6,0,0,0,0.3,0.7,45.5,0.9,0.7,1.7,0,0.1,0.1,0.4,0.2,4.5,9,0,-0.1
