RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$45,780,966"
2,"James Harden, SG",Philadelphia 76ers,"$44,310,840"
3,"John Wall, PG",Houston Rockets,"$44,310,840"
4,"Russell Westbrook, PG",Los Angeles Lakers,"$44,211,146"
5,"Kevin Durant, PF",Brooklyn Nets,"$42,018,900"
6,"LeBron James, SF",Los Angeles Lakers,"$41,180,544"
7,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$39,344,970"
8,"Damian Lillard, PG",Portland Trail Blazers,"$39,344,900"
9,"Kawhi Leonard, SF",LA Clippers,"$39,344,900"
10,"Paul George, F",LA Clippers,"$39,344,900"
11,"Klay Thompson, SG",Golden State Warriors,"$37,980,720"
12,"Jimmy Butler, SF",Miami Heat,"$36,016,200"
13,"Tobias Harris, PF",Philadelphia 76ers,"$35,995,950"
14,"Khris Middleton, SF",Milwaukee Bucks,"$35,500,000"
15,"Anthony Davis, PF",Los Angeles Lakers,"$35,361,360"
16,"Rudy Gobert, C",Utah Jazz,"$35,344,828"
17,"Kyrie Irving, PG",Brooklyn Nets,"$35,328,700"
18,"Bradley Beal, SG",Washington Wizards,"$33,724,200"
19,"Pascal Siakam, PF",Toronto Raptors,"$33,003,936"
20,"Ben Simmons, PG",Brooklyn Nets,"$33,003,936"
21,"Jrue Holiday, PG",Milwaukee Bucks,"$32,413,333"
22,"Kristaps Porzingis, C",Washington Wizards,"$31,650,600"
23,"Devin Booker, SG",Phoenix Suns,"$31,650,600"
24,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$31,650,600"
25,"Joel Embiid, C",Philadelphia 76ers,"$31,579,390"
26,"Andrew Wiggins, SF",Golden State Warriors,"$31,579,390"
27,"Nikola Jokic, C",Denver Nuggets,"$31,579,390"
28,"Kevin Love, PF",Cleveland Cavaliers,"$31,258,256"
29,"CJ McCollum, SG",New Orleans Pelicans,"$30,864,198"
30,"D'Angelo Russell, PG",Minnesota Timberwolves,"$30,013,500"
31,"Chris Paul, PG",Phoenix Suns,"$30,000,000"
32,"Gordon Hayward, SF",Charlotte Hornets,"$29,925,000"
33,"Jamal Murray, PG",Denver Nuggets,"$29,467,800"
34,"Brandon Ingram, SF",New Orleans Pelicans,"$29,467,800"
35,"De'Aaron Fox, PG",Sacramento Kings,"$28,103,550"
36,"Bam Adebayo, C",Miami Heat,"$28,103,500"
37,"Donovan Mitchell, SG",Utah Jazz,"$28,103,500"
38,"Jayson Tatum, SF",Boston Celtics,"$28,103,500"
39,"Al Horford, C",Boston Celtics,"$27,000,000"
40,"Kyle Lowry, PG",Miami Heat,"$26,894,128"
41,"Jaylen Brown, SG",Boston Celtics,"$26,758,928"
42,"DeMar DeRozan, SF",Chicago Bulls,"$26,000,000"
43,"Draymond Green, PF",Golden State Warriors,"$24,026,712"
44,"Nikola Vucevic, C",Chicago Bulls,"$24,000,000"
45,"John Collins, PF",Atlanta Hawks,"$23,000,000"
46,"Buddy Hield, SG",Indiana Pacers,"$22,768,890"
47,"Julius Randle, PF",New York Knicks,"$21,780,000"
48,"Malcolm Brogdon, PG",Indiana Pacers,"$21,700,000"
49,"Tim Hardaway Jr., SF",Dallas Mavericks,"$21,308,816"
50,"Mike Conley, PG",Utah Jazz,"$21,000,000"
51,"Gary Harris, SG",Orlando Magic,"$20,482,143"
52,"Danilo Gallinari, PF",Atlanta Hawks,"$20,475,000"
53,"Harrison Barnes, SF",Sacramento Kings,"$20,284,091"
54,"Jerami Grant, SF",Detroit Pistons,"$20,002,500"
55,"Jarrett Allen, C",Cleveland Cavaliers,"$20,000,000"
56,"Domantas Sabonis, PF",Sacramento Kings,"$19,800,000"
57,"Fred VanVleet, SG",Toronto Raptors,"$19,675,926"
58,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
59,"Bojan Bogdanovic, SF",Utah Jazz,"$18,700,000"
60,"Lonzo Ball, PG",Chicago Bulls,"$18,604,651"
61,"Clint Capela, C",Atlanta Hawks,"$18,603,448"
62,"Eric Gordon, SG",Houston Rockets,"$18,218,818"
63,"Eric Bledsoe, SG",LA Clippers,"$18,125,000"
64,"Myles Turner, C",Indiana Pacers,"$18,000,000"
65,"Bogdan Bogdanovic, SG",Atlanta Hawks,"$18,000,000"
66,"Terry Rozier, SG",Charlotte Hornets,"$17,905,263"
67,"Ricky Rubio, PG",Cleveland Cavaliers,"$17,800,000"
68,"Caris LeVert, SG",Cleveland Cavaliers,"$17,500,000"
69,"Jonathan Isaac, PF",Orlando Magic,"$17,400,000"
70,"Joe Harris, SF",Brooklyn Nets,"$17,357,143"
71,"Spencer Dinwiddie, PG",Dallas Mavericks,"$17,142,857"
72,"Steven Adams, C",Memphis Grizzlies,"$17,073,171"
73,"Evan Fournier, SG",New York Knicks,"$17,000,000"
74,"Markelle Fultz, PG",Orlando Magic,"$16,500,000"
75,"Aaron Gordon, PF",Denver Nuggets,"$16,409,091"
76,"O.G. Anunoby, SF",Toronto Raptors,"$16,071,429"
77,"Gary Trent Jr., SG",Toronto Raptors,"$16,000,000"
78,"Davis Bertans, SF",Dallas Mavericks,"$16,000,000"
79,"Lauri Markkanen, PF",Cleveland Cavaliers,"$15,690,909"
80,"Duncan Robinson, F",Miami Heat,"$15,650,000"
81,"Marcus Morris Sr., SF",LA Clippers,"$15,627,907"
82,"Will Barton, G",Denver Nuggets,"$15,625,000"
83,"Norman Powell, G",LA Clippers,"$15,517,241"
84,"Dejounte Murray, SG",San Antonio Spurs,"$15,428,880"
85,"Derrick White, PG",Boston Celtics,"$15,178,571"
86,"Malik Beasley, SG",Minnesota Timberwolves,"$14,491,964"
87,"Marcus Smart, PG",Boston Celtics,"$14,339,285"
88,"Patrick Beverley, PG",Minnesota Timberwolves,"$14,320,988"
89,"Thaddeus Young, PF",Toronto Raptors,"$14,190,000"
90,"Jonas Valanciunas, C",New Orleans Pelicans,"$14,000,000"
91,"Doug McDermott, SF",San Antonio Spurs,"$13,750,000"
92,"Christian Wood, F",Houston Rockets,"$13,666,667"
93,"Derrick Rose, PG",New York Knicks,"$13,445,120"
94,"Luke Kennard, SG",LA Clippers,"$13,347,727"
95,"Brook Lopez, C",Milwaukee Bucks,"$13,302,325"
96,"Kentavious Caldwell-Pope, SG",Washington Wizards,"$13,038,862"
97,"Joe Ingles, SG",Utah Jazz,"$13,036,364"
98,"Kyle Kuzma, SF",Washington Wizards,"$13,000,000"
99,"Taurean Prince, PF",Minnesota Timberwolves,"$13,000,000"
100,"Robert Covington, PF",LA Clippers,"$12,975,471"
101,"T.J. Warren, SF",Phoenix Suns,"$12,690,000"
102,"Deandre Ayton, C",Phoenix Suns,"$12,632,950"
103,"Terrence Ross, G",Orlando Magic,"$12,500,000"
